advogado
aguardar
almofada
aprender
bombeiro
borracha
canivete
carteira
carteiro
cobertor
conselho
conversa
cotovelo
dinheiro
elegante
elefante
entender
escrever
especial
esquerdo
farmacia
floresta
garganta
historia
hospital
imediato
imprensa
montanha
papagaio
parafuso
pergunta
perigoso
positivo
prateado
precisar
prefeito
presente
problema
profundo
pulseira
respeito
resposta
silencio
sobrinho
surpresa
telefone
trabalho
tristeza
universo
vassoura
vermelho
